video,condition,true_val,blockiness,zero_dct_ratio,grid_std,brisque
000017.mp4,h264_crf43,43,0.222102,0.761539,1.422608,53.0998
000017.mp4,jpeg_q30,30,0.323276,0.940629,1.128976,54.3034
000017.mp4,jpeg_q60,60,0.230362,0.922034,1.337017,56.0661
000017.mp4,jpeg_q90,90,0.157011,0.850686,1.577788,55.0266
000018.mp4,clean,0,0.130932,0.734794,1.444717,56.7766
000018.mp4,h264_crf18,18,0.141855,0.708905,1.463995,53.8347
000018.mp4,h264_crf23,23,0.141963,0.734355,1.41833,56.3234
000018.mp4,h264_crf28,28,0.14595,0.755301,1.50337,56.1555
000018.mp4,h264_crf33,33,0.150606,0.76144,1.306421,55.798
000018.mp4,h264_crf38,38,0.175397,0.768933,1.250378,53.9904
000018.mp4,h264_crf43,43,0.222554,0.771285,1.39056,49.8679
000018.mp4,jpeg_q60,60,0.220637,0.922792,1.216476,57.9221
000018.mp4,jpeg_q90,90,0.149636,0.851264,1.33265,57.3596
000019.mp4,clean,0,0.144667,0.74422,1.278515,54.5974
000019.mp4,h264_crf18,18,0.15016,0.717853,1.428933,52.5583
000019.mp4,h264_crf23,23,0.142893,0.744739,1.469304,55.5051
000019.mp4,h264_crf28,28,0.14223,0.759726,1.391103,53.1071
000019.mp4,h264_crf33,33,0.155655,0.775411,1.34574,54.3991
000019.mp4,h264_crf38,38,0.182923,0.77834,1.141346,51.2429
000019.mp4,h264_crf43,43,0.222152,0.772461,1.082029,52.1335
000019.mp4,jpeg_q60,60,0.236152,0.924167,1.095555,56.175
000019.mp4,jpeg_q90,90,0.162066,0.859315,1.263641,55.7775
000020.mp4,clean,0,0.13504,0.705218,1.178282,49.7106
000020.mp4,h264_crf18,18,0.142134,0.655772,1.175316,47.5475
000020.mp4,h264_crf23,23,0.137004,0.686703,1.234202,50.4973
000020.mp4,h264_crf28,28,0.13539,0.704839,1.270149,51.9509
000020.mp4,h264_crf33,33,0.140099,0.709144,1.255159,50.9035
000020.mp4,h264_crf38,38,0.145399,0.720603,1.321948,54.4367
000020.mp4,h264_crf43,43,0.188575,0.729612,1.017666,52.2311
000020.mp4,jpeg_q30,30,0.322367,0.93754,0.935255,50.9846
000020.mp4,jpeg_q60,60,0.223126,0.91767,1.077367,52.0217
000020.mp4,jpeg_q90,90,0.154609,0.839844,1.162932,50.7141
000021.mp4,clean,0,0.132063,0.709144,1.238444,54.5676
000021.mp4,h264_crf18,18,0.139234,0.674585,1.28002,48.9182
000021.mp4,h264_crf23,23,0.141996,0.702368,1.278273,52.134
000021.mp4,h264_crf28,28,0.138626,0.728097,1.288326,54.8723
000021.mp4,h264_crf33,33,0.136804,0.740713,1.301746,57.6921
000021.mp4,h264_crf38,38,0.153197,0.735651,1.322097,55.1413
000021.mp4,h264_crf43,43,0.18746,0.745775,1.169987,57.3962
000021.mp4,jpeg_q30,30,0.313676,0.939074,0.958483,55.6183
000021.mp4,jpeg_q90,90,0.151068,0.843033,1.19472,55.5192
000022.mp4,clean,0,0.135747,0.688696,1.097612,52.5681
000022.mp4,h264_crf18,18,0.139619,0.666016,1.211531,49.465
000022.mp4,h264_crf23,23,0.137854,0.703404,1.232019,52.4299
000022.mp4,h264_crf28,28,0.13876,0.723055,1.168557,53.3766
000022.mp4,h264_crf33,33,0.140789,0.724809,1.148783,54.3508
000022.mp4,h264_crf38,38,0.151267,0.738859,1.141044,54.6354
000022.mp4,h264_crf43,43,0.184718,0.745316,1.033309,53.6164
000022.mp4,jpeg_q30,30,0.32124,0.938636,0.886609,54.8337
000022.mp4,jpeg_q60,60,0.228285,0.917769,1.032393,55.3845
000022.mp4,jpeg_q90,90,0.156188,0.839405,1.096754,54.3068
000023.mp4,clean,0,0.134101,0.701949,1.257603,53.5529
000023.mp4,h264_crf18,18,0.140116,0.682079,1.242976,50.0168
000023.mp4,h264_crf23,23,0.139255,0.711874,1.220955,52.6906
000023.mp4,h264_crf28,28,0.132263,0.732302,1.221167,55.8942
000023.mp4,h264_crf33,33,0.137107,0.735571,1.199726,55.2814
